Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774893165,8500,GET,/health,231.700000,0.000000,2700,3500,3900,4400,5500,6700,7400,7500,8100,8100,8100,4027,0,700.0,1574.4569746128518,98.84624299957068,8071.919436999451,34.0
1774893165,8500,GET,/models,226.800000,0.000000,410,580,620,720,890,970,1100,1200,1300,1300,1300,3874,0,200.0,301.0585607870159,12.126493998948717,1302.386953999303,399.0
1774893165,8500,POST,/predict,1244.800000,0.000000,540,690,800,830,1000,1100,1200,1200,1300,1400,1400,16859,0,420.0,483.8435410670877,2.440809999825433,1377.0479270006035,44.98184945726318
1774893165,8500,,Aggregated,1703.300000,0.000000,590,730,840,920,1200,3000,4500,5700,7600,8100,8100,24760,0,420.0,632.623479810375,2.440809999825433,8071.919436999451,98.58614701130857
1774893166,9000,GET,/health,157.900000,0.000000,3800,4600,5500,6000,7500,8400,10000,10000,11000,11000,11000,4290,0,730.0,1917.576975854771,98.84624299957068,10567.139263999707,34.0
1774893166,9000,GET,/models,155.600000,0.000000,600,810,890,980,1200,1300,1400,1500,1500,1500,1500,4192,0,210.0,363.7949750460177,12.126493998948717,1507.4930529990525,399.0
1774893166,9000,POST,/predict,1305.000000,0.000000,720,910,1000,1100,1200,1300,1400,1500,1500,1600,1600,20898,0,570.0,606.2081743517066,2.440809999825433,1596.7485920009494,44.98023734328644
1774893166,9000,,Aggregated,1618.500000,0.000000,800,1000,1100,1200,1400,3500,5600,7100,10000,11000,11000,29380,0,530.0,763.1032059023772,2.440809999825433,10567.139263999707,93.88921034717495
1774893167,9500,GET,/health,157.900000,0.000000,4500,5500,6400,6700,7900,8700,10000,10000,11000,11000,11000,4290,0,730.0,1917.576975854771,98.84624299957068,10567.139263999707,34.0
1774893167,9500,GET,/models,155.600000,0.000000,710,880,910,1100,1300,1300,1400,1500,1500,1500,1500,4192,0,210.0,363.7949750460177,12.126493998948717,1507.4930529990525,399.0
1774893167,9500,POST,/predict,1305.000000,0.000000,800,970,1100,1100,1200,1300,1400,1500,1500,1600,1600,20898,0,570.0,606.2081743517066,2.440809999825433,1596.7485920009494,44.98023734328644
1774893167,9500,,Aggregated,1618.500000,0.000000,830,1000,1100,1200,1400,3700,6000,7400,10000,11000,11000,29380,0,530.0,763.1032059023772,2.440809999825433,10567.139263999707,93.88921034717495
1774893168,10000,GET,/health,157.900000,0.000000,4500,5500,6400,6700,7900,8700,10000,10000,11000,11000,11000,4290,0,730.0,1917.576975854771,98.84624299957068,10567.139263999707,34.0
